LOCATION;WEEK;NEW_CASES_PER_MILLION;NEW_DEATHS_PER_MILLION;ICU_PATIENTS_PER_MILLION;HOSP_PATIENTS_PER_MILLION;NEW_TESTS_PER_THOUSAND;TOTAL_VACCINATIONS_PER_HUNDRED;PEOPLE_VACCINATED_PER_HUNDRED;PEOPLE_FULLY_VACCINATED_PER_HUNDRED;MEDIAN_AGE;AGED_70_OLDER;AGED_65_OLDER;GDP_PER_CAPITA;EXTREME_POVERTY;CARDIOVASC_DEATH_RATE
Austria;2021-1;194;3;43;206;2;0;0;;44;14;19;45437;0,7;145
Austria;2021-2;234;7;41;219;2;0;0;;44;14;19;45437;0,7;145
Austria;2021-3;213;6;40;200;58;1;1;0;44;14;19;45437;0,7;145
Austria;2021-4;174;5;37;181;18;2;2;0;44;14;19;45437;0,7;145
Austria;2021-5;154;5;34;166;10;3;2;0;44;14;19;45437;0,7;145
Austria;2021-6;148;5;33;152;13;3;3;1;44;14;19;45437;0,7;145
Austria;2021-7;155;3;30;136;24;5;3;2;44;14;19;45437;0,7;145
Austria;2021-8;178;3;29;117;24;6;3;2;44;14;19;45437;0,7;145
Austria;2021-9;219;3;29;116;26;7;4;3;44;14;19;45437;0,7;145
Austria;2021-10;247;2;34;122;26;9;6;3;44;14;19;45437;0,7;145
Austria;2021-11;289;3;37;139;29;11;8;3;44;14;19;45437;0,7;145
Austria;2021-12;323;3;43;158;31;14;10;3;44;14;19;45437;0,7;145
Austria;2021-13;354;3;50;179;33;16;12;4;44;14;19;45437;0,7;145
Austria;2021-14;353;3;59;192;35;19;14;5;44;14;19;45437;0,7;145
Austria;2021-15;297;4;64;199;33;22;16;6;44;14;19;45437;0,7;145
Austria;2021-16;263;3;65;184;34;26;18;8;44;14;19;45437;0,7;145
Austria;2021-17;248;3;60;159;30;30;21;9;44;14;19;45437;0,7;145
Austria;2021-18;215;3;56;139;28;34;25;9;44;14;19;45437;0,7;145
Austria;2021-19;152;2;50;117;33;38;28;10;44;14;19;45437;0,7;145
Austria;2021-20;101;2;39;86;30;43;32;11;44;14;19;45437;0,7;145
Belgium;2021-1;115;5;42;181;1;0;0;0;42;13;19;42659;0,2;115
Belgium;2021-2;167;5;36;179;4;0;0;0;42;13;19;42659;0,2;115
Belgium;2021-3;179;4;31;167;4;1;1;0;42;13;19;42659;0,2;115
Belgium;2021-4;181;4;30;167;4;2;2;0;42;13;19;42659;0,2;115
Belgium;2021-5;197;4;28;161;4;3;2;0;42;13;19;42659;0,2;115
Belgium;2021-6;198;4;27;152;4;3;3;1;42;13;19;42659;0,2;115
Belgium;2021-7;163;3;26;142;4;5;3;1;42;13;19;42659;0,2;115
Belgium;2021-8;188;3;27;138;3;6;4;2;42;13;19;42659;0,2;115
Belgium;2021-9;210;2;31;151;4;7;4;3;42;13;19;42659;0,2;115
Belgium;2021-10;202;2;36;164;4;8;5;3;42;13;19;42659;0,2;115
Belgium;2021-11;241;2;39;167;4;10;6;3;42;13;19;42659;0,2;115
Belgium;2021-12;279;3;46;182;5;12;8;4;42;13;19;42659;0,2;115
Belgium;2021-13;470;3;54;210;6;14;10;4;42;13;19;42659;0,2;115
Belgium;2021-14;387;3;66;249;5;17;12;5;42;13;19;42659;0,2;115
Belgium;2021-15;308;4;77;266;4;20;15;5;42;13;19;42659;0,2;115
Belgium;2021-16;302;4;80;264;3;25;18;6;42;13;19;42659;0,2;115
Belgium;2021-17;309;3;79;260;4;29;22;7;42;13;19;42659;0,2;115
Belgium;2021-18;264;3;75;241;4;32;25;7;42;13;19;42659;0,2;115
Belgium;2021-19;258;3;66;214;5;37;29;8;42;13;19;42659;0,2;115
Belgium;2021-20;194;2;58;175;4;43;33;10;42;13;19;42659;0,2;115
Bulgaria;2021-1;44;5;67;684;1;0;0;;45;13;21;18563;1,5;425
Bulgaria;2021-2;114;9;59;635;1;0;0;;45;13;21;18563;1,5;425
Bulgaria;2021-3;68;8;52;559;1;0;0;;45;13;21;18563;1,5;425
Bulgaria;2021-4;61;7;46;465;1;0;0;0;45;13;21;18563;1,5;425
Bulgaria;2021-5;81;4;39;410;2;0;0;0;45;13;21;18563;1,5;425
Bulgaria;2021-6;101;6;39;423;1;1;0;0;45;13;21;18563;1,5;425
Bulgaria;2021-7;123;6;40;458;2;1;1;0;45;13;21;18563;1,5;425
Bulgaria;2021-8;142;5;43;510;1;1;1;0;45;13;21;18563;1,5;425
Bulgaria;2021-9;211;7;50;591;2;2;2;0;45;13;21;18563;1,5;425
Bulgaria;2021-10;269;9;60;721;2;4;3;1;45;13;21;18563;1,5;425
Bulgaria;2021-11;371;13;70;887;1;5;4;1;45;13;21;18563;1,5;425
Bulgaria;2021-12;506;15;87;1092;;5;4;1;45;13;21;18563;1,5;425
Bulgaria;2021-13;520;14;104;1288;3;6;5;1;45;13;21;18563;1,5;425
Bulgaria;2021-14;503;18;109;1432;2;7;5;1;45;13;21;18563;1,5;425
Bulgaria;2021-15;396;17;111;1501;2;8;6;2;45;13;21;18563;1,5;425
Bulgaria;2021-16;297;16;115;1417;2;9;7;2;45;13;21;18563;1,5;425
Bulgaria;2021-17;229;15;112;1248;2;10;8;2;45;13;21;18563;1,5;425
Bulgaria;2021-18;159;12;102;1073;2;11;8;3;45;13;21;18563;1,5;425
Bulgaria;2021-19;105;9;90;927;1;13;9;4;45;13;21;18563;1,5;425
Bulgaria;2021-20;84;7;77;781;2;15;10;5;45;13;21;18563;1,5;425
Croatia;2021-1;174;12;;599;1;;;;44;13;20;22670;0,7;254
Croatia;2021-2;247;11;;563;2;0;0;;44;13;20;22670;0,7;254
Croatia;2021-3;182;9;;482;2;1;1;;44;13;20;22670;0,7;254
Croatia;2021-4;139;7;;396;1;1;1;;44;13;20;22670;0,7;254
Croatia;2021-5;123;7;;337;1;2;1;0;44;13;20;22670;0,7;254
Croatia;2021-6;106;5;;299;1;2;1;1;44;13;20;22670;0,7;254
Croatia;2021-7;81;5;;258;1;3;2;1;44;13;20;22670;0,7;254
Croatia;2021-8;77;4;;213;1;3;2;1;44;13;20;22670;0,7;254
Croatia;2021-9;102;3;;191;1;4;3;1;44;13;20;22670;0,7;254
